date,pm25,aluminum,ammonium ion,arsenic,barium,bromine,cadmium,calcium,chlorine,chromium,copper,elemental carbon,iron,lead,magnesium,manganese,nickel,organic carbon,potassium ion,selenium,silicon,sodium,sulfur,titanium,total nitrate,vanadium,zinc
2007-01-03,12.316666666666666,0.03925,1.42,1.66666666666667e-4,0,0.00437666666666667,0,0.121516666666667,0.0317166666666667,0.00143333333333333,0.00854,NA,0.179716666666667,0.00805,0.00373333333333333,0.0119833333333333,0.0154,NA,0.0262333333333333,0.00258666666666667,0.0837,0.12565,0.872516666666667,0.0014,1.73765,0.0125,0.0646
2007-01-06,6.05,0.0169,0.873666666666667,6.61666666666667e-4,0,0.00145,0,0.02685,0.002,0.0018,0.00315666666666667,NA,0.0809,0.00275,0.00286666666666667,0.00164333333333333,0.00445,NA,0,0,0.0189833333333333,0.0683833333333333,0.818016666666667,5.83333333333333e-4,0.616466666666667,0.00403333333333333,0.0115166666666667
2007-01-09,8.56,0.008375,1.175,4.25e-4,0,0.002175,0,0.0814,0.0097,2.5e-4,0.004625,NA,0.097675,0.0047,0,0.00305,0.008875,NA,0,0.00115,0.044425,0.05715,0.573025,9.75e-4,2.16825,0.003375,0.028625
2007-01-12,16.883333333333333,0.0486333333333333,2.02666666666667,6.23333333333333e-4,0,0.00581333333333333,0,0.143383333333333,0.140833333333333,0.00143333333333333,0.00848,NA,0.179583333333333,0.00933333333333333,0.00383333333333333,0.01075,0.0166333333333333,NA,0.0811,0.0018,0.0877333333333333,0.134216666666667,1.00931666666667,0.00151666666666667,3.39485,0.0121333333333333,0.0711333333333333
2007-01-15,19.65,0.0363166666666667,2.30666666666667,8.73333333333333e-4,0,0.00448666666666667,3.33333333333333e-4,0.133583333333333,0.1715,5e-4,0.00929,NA,0.220466666666667,0.00896666666666667,0.00831666666666667,0.01039,0.01725,NA,0.0253333333333333,4.63333333333333e-4,0.0715166666666667,0.121166666666667,1.66066666666667,0.00228333333333333,2.05866666666667,0.012,0.06965
2007-01-18,19.78333333333333,0.0376833333333333,2.62666666666667,0.00128,0,0.00574,0,0.16125,0.325833333333333,5e-4,0.00860333333333333,NA,0.16985,0.00703333333333333,0.00396666666666667,0.00786,0.0223166666666667,NA,0.018,6.66666666666667e-4,0.0724666666666667,0.146116666666667,1.10881666666667,0.00135,4.65633333333333,0.00736666666666667,0.0753333333333333
2007-01-21,7.05,0.033,0.949666666666667,3.1e-4,0,0.00197333333333333,0,0.0905833333333333,0.005,0.001,0.00318666666666667,NA,0.0756666666666667,0.00428333333333333,0.00313333333333333,0.00496333333333333,0.0147333333333333,NA,0.0137,5e-4,0.0456833333333333,0.07405,0.613833333333333,6.66666666666667e-4,1.27221666666667,0.00666666666666667,0.0329666666666667
2007-01-24,14.233333333333334,0.0227,2.69333333333333,5.3e-4,0,0.00379,0,0.0883666666666667,0.0229166666666667,0,0.00479,NA,0.120216666666667,0.00276666666666667,0.00133333333333333,0.00438,0.0113666666666667,NA,0.0216666666666667,0.00169333333333333,0.0659333333333333,0.0510833333333333,1.4981,5.66666666666667e-4,3.46928333333333,0.00148333333333333,0.03245
2007-01-27,17.066666666666666,0.0480333333333333,2.61666666666667,1.66666666666667e-4,0.003,0.00489666666666667,0,0.149,0.258,0.001,0.00936333333333333,NA,0.143766666666667,0.0115833333333333,0.00166666666666667,0.0099,0.0226,NA,0.0463666666666667,0.00137666666666667,0.0873166666666667,0.124683333333333,1.03348333333333,0.00135,4.78073333333333,0.00863333333333333,0.0519
2007-01-30,17.4,0.02935,3.03,0.00153333333333333,0,0.00501333333333333,0,0.0991333333333333,0.07735,6e-4,0.00642333333333333,NA,0.1163,0.00431666666666667,0.00293333333333333,0.00605333333333333,0.014416666666666701,NA,0.0441666666666667,0.00304,0.07085,0.0698333333333333,1.16861666666667,8.66666666666667e-4,5.6724,0.00471666666666667,0.0369666666666667
2007-02-02,33.233333333333334,0.0304333333333333,5.62,0.00142666666666667,0,0.0103166666666667,0,0.1138,0.499833333333333,6.66666666666667e-4,0.00793,NA,0.141533333333333,0.00498333333333333,0.0038,0.00613666666666667,0.0174833333333333,NA,0.0258333333333333,0.00233666666666667,0.08275,0.10725,2.13855,0.00138333333333333,9.07203333333333,0.00495,0.0525
2007-02-05,8.62,0.0269,1.09,6.6e-4,0,0.00604,3.33333333333333e-4,0.0831666666666667,0.143,0.00295,0.00422666666666667,NA,0.0861333333333333,0.0035,0.0296333333333333,0.00468,0.0136833333333333,NA,0.0312666666666667,0.00168666666666667,0.0395,0.198066666666667,0.69365,4.16666666666667e-4,1.83733333333333,0.00596666666666667,0.0332833333333333
2007-02-08,12.166666666666666,0.0381333333333333,1.86,0.00127,0.00533333333333333,0.00386333333333333,0,0.0969166666666667,0.0216666666666667,0,0.00343,NA,0.100833333333333,0.00266666666666667,0.00346666666666667,0.00463333333333333,0.0110333333333333,NA,0.0323,0.0016,0.0773833333333333,0.0739833333333333,0.816933333333333,0.00236666666666667,3.28786666666667,0.00446666666666667,0.0344166666666667
2007-02-11,14.466666666666667,0.0342166666666667,2.38,0.00149333333333333,0,0.00522,0,0.0893833333333333,0.120833333333333,6.66666666666667e-4,0.00434,NA,0.0823666666666667,0.00516666666666667,0.0057,0.00594666666666667,0.0143333333333333,NA,0.0416666666666667,0.00145,0.0631,0.106383333333333,1.06396666666667,7e-4,4.09051666666667,0.00808333333333333,0.0311833333333333
