date,aluminum,ammonium ion,arsenic,barium,bromine,cadmium,calcium,chlorine,chromium,copper,elemental carbon,iron,lead,magnesium,manganese,nickel,organic carbon,potassium ion,selenium,silicon,sodium,sulfur,titanium,total nitrate,vanadium,zinc
2007-01-03,-5.835620494573587e-7,4.5996592047721003e-7,-7.849942636052425e-7,-1.324168118188298e-9,-2.713102479201077e-7,2.592470672672016e-7,-1.7316013105692586e-6,-9.381099371856086e-9,6.965462193753703e-7,-1.3580260397938796e-6,0,-1.2002921207940718e-6,0.15133475216062078,-2.5208226484038567e-7,1.5831931831681154,-1.8335082825530126e-6,0,-9.968026116743127e-7,2.3824490558928275,-8.766627757160873e-7,-7.715125197805906e-7,9.229480546401484e-7,-1.392226151997283e-6,-0.16594826002617025,0.6118202680607685,-2.1211313619702763e-6
2007-01-06,-2.648099885498117e-7,-3.351779905168807e-7,-1.803608113010993e-7,-5.68788177418948e-10,-3.7349617838269616e-7,-8.516790596268262e-10,-4.0303475951626773e-7,-7.466597690413031e-8,-2.6627190295632755e-7,-3.8306814562310935e-7,0,-4.0075343323042864e-7,-8.514949509158196e-8,-1.812092831564328e-7,-3.670061829627682e-7,-2.4458312795652736e-7,0,-4.2621856908593844e-7,-3.329217097333721e-7,-4.6264266385866344e-7,-1.7166221382188215e-7,-2.441089556956052e-7,-5.33843954576533e-7,-4.6842224807533184e-7,9.481091242361597e-9,-3.968344715932439e-7
2007-01-09,-4.879751187648069e-7,-4.3453507585374494e-7,-4.0847001430004983e-7,-4.389474200544171e-7,-3.9010057728812165e-7,2.115489990766926e-7,-5.30554402656592e-7,1.7372022040000628e-7,1.9734639307467114e-7,-6.120793896079193e-7,0,-4.863509171992154e-7,-1.96743435839452e-7,-1.272839986127584e-8,-7.494034966972746e-7,-7.471383022452329e-7,0,-6.465090133555337e-7,0.1529101574891119,-4.1474928023323154e-7,-1.362472538577373e-7,-2.7416970836192413e-7,-4.333599282194318e-7,-7.653834735304829e-7,-2.822552639293195e-7,-9.315111734118531e-7
2007-01-12,-8.162449314514051e-7,-2.386509989796831e-7,-8.87230037081088e-7,-2.610140289598021e-9,-5.086478311834894e-7,-1.2687584065045103e-8,-1.7007960878164506e-6,5.925685726791696e-7,5.001626701442996e-7,-1.5367012752507672e-6,0,-1.4540502926161532e-6,0.31327673654911775,-5.006523272107067e-7,0.8868533789810493,-1.9216330976381496e-6,0,-8.688624873043648e-7,0.8024123037652718,-1.1710383288585456e-6,-8.67415167924136e-7,5.52884921769054e-8,-1.474340923050539e-6,-1.4602831243138545e-6,0.258757937998006,-2.0823913814440025e-6
2007-01-15,-7.386495614777223e-7,-1.223222639291256e-6,-1.5740200077374552e-6,-2.1286748920955197e-9,-1.24054654679546e-6,4.734239188085154e-9,-1.8087469046684649e-6,6.038095918469658e-7,4.106229810856321e-7,-1.7015134460405066e-6,0,-1.2564038072378357e-6,0.24355767040836107,-5.239637267472985e-7,0.7485487646486968,-2.2494260163188003e-6,0,-1.7674214481679888e-6,-9.566200727274804e-7,-1.0005174977744927e-6,-8.72333890570209e-7,-5.171440225142286e-7,-9.869546645487868e-7,-0.3051367555479535,0.3078665604082784,-2.3194574649346516e-6
2007-01-18,-8.457861974377779e-7,-8.717518101015495e-7,-1.1732821848949907e-6,-1.622237424319729e-9,-5.693718005715232e-7,2.479635891595654e-10,-1.1712551861900744e-6,1.3833353445615955,1.428177931686823e-7,-1.3757984459760223e-6,0,-1.251443956565169e-6,-7.401636598800779e-7,6.117984560062348e-7,-1.5158318848858842e-6,-1.509675221907157e-6,0,-1.4265066295121875e-6,-6.661435472835219e-7,-9.494432400670527e-7,5.390985130120501e-7,-5.334056746459108e-7,-9.399394700692878e-7,-1.5934284282212497e-6,-7.132808825632205e-7,-1.740954248155937e-6
2007-01-21,-1.3316688222121993e-7,-4.1223264402242746e-7,-7.735717160264547e-7,3.5764808187782327e-9,-5.012757698031075e-7,-2.260686679123662e-8,-7.962893698017493e-7,1.4063319249478339e-7,6.632791153907158e-7,-8.713952536605473e-7,0,-6.617167412499006e-7,-4.5204791058554383e-7,8.329751488274448e-8,-7.54923729538769e-7,-7.231188676157645e-7,0,-8.454037022731856e-7,-2.7888934791183335e-8,-4.519713602916262e-7,-2.000200610969987e-7,-5.361375504485981e-8,-6.366168072570382e-7,-1.0712625012433117e-6,-1.3636874678936949e-7,-1.262364766331319e-6
2007-01-24,-3.8896890722174473e-7,-1.3605467239276414e-6,-6.574328100542254e-7,-2.5886278626284487e-9,-8.001736515685492e-7,1.777095443326128e-7,-5.835915391009779e-7,4.4229992720250634e-8,1.46182573770586e-7,-6.294030535074636e-7,0,-4.5171985054326836e-7,-8.166505989754822e-7,3.140296661413353e-8,-6.329217606853701e-7,-8.041829739427204e-7,0,-6.260281242203545e-7,0.2123804192458421,-4.71223421357377e-7,-3.9736776894819777e-7,-1.1872826801368988e-6,-4.070452155386815e-7,-1.3388863682439835e-6,-0.03692711632152623,-1.0160102648822833e-6
2007-01-27,0.04656822516240372,-1.1142032863464635e-6,-0.15776385767549192,-1.944572382836583e-6,-1.0676708933450869e-6,1.4348175237304799e-9,-2.585089353532267e-6,0.8817170242521117,1.0970065930408193e-6,-2.449926132485822e-6,0,-1.8446441219824002e-6,0.8629365376031195,7.499617193947971e-7,0.4469775483327463,-3.1686468105937356e-6,0,-1.6231260752827402e-6,0.2306766680915552,-6.635234930692365e-7,4.575691600809036e-7,-7.710278634619501e-8,-9.178413792510116e-7,-2.8803915891303976e-6,-1.12957654693593e-6,-0.4087115600426944
2007-01-30,-4.108068188919201e-7,-1.2199082427006328e-6,-1.2641759553937986e-7,-1.9774863710164984e-9,-7.252324571660509e-7,-7.502482840928486e-10,-1.0298370578897557e-6,2.365666567411993e-7,-2.8275229697995055e-7,-7.955857230080856e-7,0,-8.744025741563079e-7,-9.674670846211541e-7,-5.099452504347124e-8,-9.632205721496854e-7,-1.3348856624485154e-6,0,-4.691941013082442e-7,1.7357630826558499,-5.60926181981007e-7,-6.392356770867111e-7,-1.0531769472810378e-6,-3.4656888363907544e-7,-1.3937884404294047e-6,-6.260561902247001e-7,-1.700363854972578e-6
2007-02-02,-8.137286624063895e-7,-3.3118178957178956e-6,-1.238306547853864e-6,-3.846571666363462e-9,-1.1054539285582404e-6,-2.0916151212887036e-9,-1.0766358937769713e-6,3.32506382121593,-1.4562890549831405e-7,-1.124367019707529e-6,0,-1.0162144521682432e-6,-1.5995951668595402e-6,1.2574123049481272e-6,-1.3997800284141658e-6,-1.6921286470095367e-6,0,-0.2408767343832181,-2.331468066565525e-6,-8.779078188172652e-7,7.966902135069648e-7,-3.309733022633067e-6,-1.8333238087507397e-7,0.381284176791394,-0.10045648816615507,-1.783700484442109e-6
2007-02-05,-3.102105921554783e-7,-2.6722775403392393e-7,-7.81554037490591e-8,-2.329920823365245e-7,-2.590696300288781e-8,1.299777551204103e-7,-1.0100874354812919e-6,-2.3446784786250877e-7,2.1044628805432717e-7,-8.289786847221214e-7,0,-9.120860771656077e-7,-6.950738999860037e-7,-1.2697324635431554e-6,-7.78816942130587e-7,-5.805256400662568e-7,0,-4.658675793097385e-7,0.6960063899564525,-6.907242613612452e-7,-1.227824893942525e-6,-2.1115582843377664e-8,-6.328090926820613e-7,-1.0854465308752712e-6,-4.8653537503625006e-8,-1.3584902539104438e-6
2007-02-08,-2.105309369144238e-7,-9.153795448457706e-7,3.637323081393725e-8,-1.9391321977434844e-6,-6.391643045014783e-7,1.8011127863556362e-7,-7.385819007957968e-7,-2.0999665063183548e-8,-7.004649660888145e-8,-1.1046179639194378e-6,0,-8.985393303933963e-7,-8.562678274784544e-7,-8.624943945653818e-8,-8.406754352822115e-7,-9.027604335899025e-7,0,-2.0208066513400548e-7,0.24624177452823068,-4.378759437875338e-7,-2.994018682676496e-7,-8.140463877402794e-7,-5.464588552661703e-7,-1.1721582695312376e-6,-5.117231244716114e-7,-1.2129016594372912e-6
2007-02-11,-3.4477676388104005e-7,-1.3685313071874817e-6,-2.391214581604102e-7,-2.7146052399684835e-9,-6.949929676726443e-7,-1.1675776927781755e-9,-9.33211725355536e-7,3.8269056208008217e-7,-8.129518153789644e-8,-9.189814859894851e-7,0,-9.002979354533303e-7,-7.02876133830121e-7,-3.821833728460662e-7,-7.901931600637607e-7,-1.073382088147344e-6,0,-6.30201256083358e-7,-4.024277681699941e-7,-5.710878961163752e-7,-5.990051367752451e-7,-1.174801425035727e-6,-3.790436875922851e-7,-1.5287442192529902e-6,-2.982211996507486e-7,-1.4955995168256628e-6
2007-02-14,-2.3449516772091592e-7,-7.927107368361039e-7,-7.009044310763631e-7,-1.1504313097683563e-9,-5.241449926713697e-7,-2.7621152505475972e-8,-1.6396386305476598e-6,-1.484190519084704e-7,7.723427564658646e-7,-1.2307581883646982e-6,0,-1.0210315161989323e-6,0.019582147578457082,-5.086982330673956e-7,0.08767341876542686,0.2068860624162019,0,-7.304046452842229e-7,0.33912322313542176,-5.338819252440007e-7,-7.926896071446558e-7,7.685881755012001e-8,-3.349714622103899e-7,-0.16319419871528792,-3.6543732370806353e-7,-2.4972508213264135e-6
2007-02-17,-2.0257118178452355e-7,-6.637036982591632e-7,8.585489813837466e-8,-1.2047948071947814e-9,-3.423645246960817e-7,1.0482315550481377e-7,-1.3394160714530531e-6,-2.734694031243685e-7,-6.454481618637398e-8,-9.295535158615178e-7,0,-1.1665864609639565e-6,-1.0482902493367886e-6,-3.218054175671074e-7,-9.930920070558233e-7,-1.0993565775733421e-6,0,-4.190510121888866e-7,3.197925292728038,-7.473400581068163e-7,-7.720810070513033e-7,-4.430423809284109e-7,-8.123225645277418e-7,-1.1892144972149867e-06,0.18542758812052548,-1.9247494256532704e-6
2007-02-20,-8.878562085641338e-7,-9.418556278238358e-7,-5.837895902740956e-7,-1.110354606779635e-6,-9.598121858193514e-7,-1.8553881516810953e-8,-3.386110653838902e-6,2.2281388105455476e-7,-1.9078353332232676e-7,-0.06979584027639071,0,-2.6648131682631623e-6,0.12631695110641317,-1.5795674062058933e-7,1.271720774274801,0.11144464085418183,0,-1.2218938466351659e-6,3.4176065934008766,-1.2319772121530052e-6,-9.253214944118756e-7,-3.153944986551057e-8,-1.4295616936940822e-6,-3.1857310378147234e-6,1.1718353462985025,-0.0024798238243495057
2007-02-23,-1.8803974910623834e-7,-2.6051995119559805e-7,-1.264998572350267e-7,-6.73847434502353e-7,-3.723620733507148e-7,-4.909307168807749e-7,-5.014126471181814e-7,-6.10135390356361e-8,8.062558818734934e-8,-6.52415498595059e-7,0,-4.89858154344516e-7,-5.870421837798972e-7,-4.5014935564941395e-8,-4.930139906201781e-7,-3.6066074114325317e-7,0,-6.623553260268272e-7,2.7462367060772056e-8,-3.168355391210021e-7,-1.654237399320863e-7,-7.011762452002171e-8,-4.288933421122158e-7,-6.335128147321674e-7,-2.559590827336812e-7,-8.50803227941094e-7
2007-02-26,-6.080179619822664e-7,-4.893656456893916e-7,-5.964799417161314e-7,-8.769637408852602e-7,-5.999174641441193e-7,-2.2830779706587792e-7,-1.0284107665521967e-6,1.5641951348774907e-7,1.1203892329099259e-8,-1.0070180207976261e-6,0,-1.146190939457759e-6,1.0377954535835825,6.30582922788073e-8,-1.2401802693462164e-6,0.17375898366411285,0,-3.991633856607167e-7,-9.555172497405459e-7,-6.778635471512379e-7,-5.533531084297138e-7,-2.3302237190366451e-7,-7.095138784241842e-7,-1.198763279201632e-6,-5.465087723181437e-7,-1.3539226075882174e-6
2007-03-01,-6.567339437651841e-7,-4.5571378988159324e-7,0.061177500267146016,-9.780917951332743e-7,-7.922628568491722e-7,-1.394232253569253e-7,-1.0166468480901246e-6,-1.1098468780911697e-7,-1.6377083725914943e-8,-1.2328996655239094e-6,0,-1.15314397832029e-6,-7.78992090111043e-7,-1.1520225744947148e-7,-1.2107088797651691e-6,-1.0026990600158399e-6,0,-1.086658223399727e-6,-5.097842309300961e-7,-8.267430030331176e-7,-6.91459894678078e-7,-4.438421573519475e-7,-5.824621419298879e-7,-8.926453493216387e-7,-6.477322998944751e-7,-1.3650142141713507e-6
2007-03-04,-2.0952503960734226e-7,-6.540361053148571e-7,7.916851156506849e-8,-1.7264381151337793e-6,-3.706753632668283e-7,-3.8502820178456293e-7,-2.0064246632582242e-7,2.2281927596148807e-8,-1.285210417353159e-8,-3.702137728609653e-7,0,-3.4020516980674e-7,-1.2076865951139468e-7,1.1219119447248272e-7,-2.6622030551590496e-7,-1.7332677908474402e-7,0,-2.939538230967009e-8,-4.932910283865492e-7,-2.548858736429842e-7,2.079384609025735e-8,-5.125129854988264e-7,-2.5709927161294443e-7,-7.031415576563042e-7,-3.516010941951788e-7,-3.5461619377528443e-7
